id;Length;l_amps;n_amps;OSNRCONSTRAINT;OSNRPOGGIO;DELTA
620;2000;25;16;17.444;-49.544;66.988
621;2080;26;16;17.374;-49.958;67.332
622;2160;27;16;17.305;-50.335;67.64
623;2240;28;16;17.238;-50.683;67.92099999999999
624;2320;29;16;17.171;-51.005;68.176
625;2400;30;16;17.106;-51.305;68.411
626;2480;31;16;17.042;-51.718;68.76
627;2560;32;16;16.978;-52.096;69.074
628;2640;33;16;16.915;-52.444;69.35900000000001
629;2720;34;16;16.854;-52.766;69.62
630;2800;35;16;16.793;-53.065;69.858
631;2880;36;16;16.733;-53.346;70.079
632;2960;37;16;16.673;-53.609;70.282
633;3040;38;16;16.615;-53.857;70.472
634;3120;39;16;16.557;-54.092;70.649
635;3200;40;16;16.501;-54.315;70.816
636;3280;41;16;16.444;-54.527;70.971
637;3360;42;16;16.389;-54.729;71.118
638;3440;43;16;16.334;-54.922;71.256
639;3520;44;16;16.28;-55.107;71.387
640;3600;45;16;16.227;-55.284;71.511
641;3680;46;16;16.174;-55.491;71.66499999999999
642;3760;47;16;16.122;-55.689;71.811
643;3840;48;16;16.07;-55.878;71.94800000000001
644;3920;49;16;16.02;-56.06;72.08
645;4000;50;16;15.969;-56.234;72.203
646;1280;16;17;17.941;17.941;0.0
647;1360;17;17;17.863;-39.544;57.407
648;1440;18;17;17.787;-42.554;60.341
649;1520;19;17;17.711;-44.315;62.025999999999996
650;1600;20;17;17.637;-45.564;63.201
651;1680;21;17;17.565;-46.533;64.098
652;1760;22;17;17.493;-47.325;64.818
653;1840;23;17;17.422;-47.995;65.417
654;1920;24;17;17.353;-48.574;65.92699999999999
655;2000;25;17;17.285;-49.086;66.371
656;2080;26;17;17.218;-49.544;66.762
657;2160;27;17;17.152;-49.958;67.11
658;2240;28;17;17.086;-50.335;67.42099999999999
659;2320;29;17;17.022;-50.683;67.705
660;2400;30;17;16.959;-51.005;67.964
661;2480;31;17;16.897;-51.305;68.202
662;2560;32;17;16.835;-51.585;68.42
663;2640;33;17;16.774;-51.974;68.74799999999999
664;2720;34;17;16.715;-52.331;69.046
665;2800;35;17;16.656;-52.661;69.31700000000001
666;2880;36;17;16.598;-52.968;69.566
667;2960;37;17;16.54;-53.254;69.794
668;3040;38;17;16.483;-53.523;70.006
669;3120;39;17;16.428;-53.776;70.20400000000001
670;3200;40;17;16.372;-54.015;70.387
671;3280;41;17;16.318;-54.242;70.56
672;3360;42;17;16.264;-54.457;70.721
673;3440;43;17;16.211;-54.662;70.87299999999999
674;3520;44;17;16.158;-54.858;71.01599999999999
675;3600;45;17;16.106;-55.046;71.152
676;3680;46;17;16.055;-55.226;71.281
677;3760;47;17;16.004;-55.398;71.402
678;3840;48;17;15.954;-55.564;71.518
679;3920;49;17;15.905;-55.759;71.664
680;4000;50;17;15.856;-55.945;71.801
681;1360;17;18;17.689;17.689;0.0
682;1440;18;18;17.615;-39.544;57.15899999999999
683;1520;19;18;17.543;-42.554;60.097
684;1600;20;18;17.471;-44.315;61.786
685;1680;21;18;17.401;-45.564;62.965
686;1760;22;18;17.332;-46.533;63.865
687;1840;23;18;17.264;-47.325;64.589
688;1920;24;18;17.198;-47.995;65.193
689;2000;25;18;17.132;-48.574;65.706
690;2080;26;18;17.067;-49.086;66.15299999999999
691;2160;27;18;17.003;-49.544;66.547
692;2240;28;18;16.94;-49.958;66.898
693;2320;29;18;16.878;-50.335;67.213
694;2400;30;18;16.817;-50.683;67.5
695;2480;31;18;16.756;-51.005;67.761
696;2560;32;18;16.697;-51.305;68.002
697;2640;33;18;16.638;-51.585;68.223
698;2720;34;18;16.58;-51.848;68.428
699;2800;35;18;16.523;-52.215;68.738
700;2880;36;18;16.466;-52.554;69.02000000000001
701;2960;37;18;16.411;-52.868;69.279
702;3040;38;18;16.356;-53.161;69.517
703;3120;39;18;16.301;-53.435;69.736
704;3200;40;18;16.248;-53.693;69.941
705;3280;41;18;16.195;-53.937;70.132
706;3360;42;18;16.142;-54.168;70.31
707;3440;43;18;16.091;-54.387;70.47800000000001
708;3520;44;18;16.04;-54.595;70.63499999999999
709;3600;45;18;15.989;-54.794;70.783
710;3680;46;18;15.939;-54.984;70.923
711;3760;47;18;15.89;-55.167;71.057
712;3840;48;18;15.841;-55.341;71.182
713;3920;49;18;15.793;-55.51;71.303
714;4000;50;18;15.745;-55.671;71.416
715;1440;18;19;17.45;17.45;0.0
716;1520;19;19;17.38;-39.544;56.92399999999999
717;1600;20;19;17.312;-42.554;59.866
718;1680;21;19;17.244;-44.315;61.559
719;1760;22;19;17.178;-45.564;62.742000000000004
720;1840;23;19;17.112;-46.533;63.644999999999996
721;1920;24;19;17.047;-47.325;64.372
722;2000;25;19;16.984;-47.995;64.979
723;2080;26;19;16.921;-48.574;65.495
724;2160;27;19;16.859;-49.086;65.945
725;2240;28;19;16.798;-49.544;66.342
726;2320;29;19;16.738;-49.958;66.696
727;2400;30;19;16.679;-50.335;67.014
728;2480;31;19;16.62;-50.683;67.303
729;2560;32;19;16.563;-51.005;67.568
730;2640;33;19;16.506;-51.305;67.811
731;2720;34;19;16.45;-51.585;68.035
732;2800;35;19;16.394;-51.848;68.24199999999999
733;2880;36;19;16.339;-52.096;68.435
734;2960;37;19;16.285;-52.444;68.729
735;3040;38;19;16.232;-52.766;68.99799999999999
736;3120;39;19;16.179;-53.065;69.244
737;3200;40;19;16.127;-53.346;69.473
738;3280;41;19;16.075;-53.609;69.684
739;3360;42;19;16.024;-53.857;69.881
740;3440;43;19;15.974;-54.092;70.066
741;3520;44;19;15.924;-54.315;70.239
742;3600;45;19;15.875;-54.527;70.402
743;3680;46;19;15.826;-54.729;70.555
744;3760;47;19;15.778;-54.922;70.7
745;3840;48;19;15.73;-55.107;70.837
746;3920;49;19;15.683;-55.284;70.967
747;4000;50;19;15.637;-55.454;71.09100000000001
748;1520;19;20;17.224;17.224;0.0
749;1600;20;20;17.158;-39.544;56.702
750;1680;21;20;17.092;-42.554;59.646
751;1760;22;20;17.028;-44.315;61.342999999999996
752;1840;23;20;16.965;-45.564;62.528999999999996
753;1920;24;20;16.902;-46.533;63.435
754;2000;25;20;16.841;-47.325;64.166
755;2080;26;20;16.78;-47.995;64.775
756;2160;27;20;16.72;-48.574;65.294
757;2240;28;20;16.661;-49.086;65.747
758;2320;29;20;16.603;-49.544;66.14699999999999
759;2400;30;20;16.545;-49.958;66.503
760;2480;31;20;16.489;-50.335;66.824
761;2560;32;20;16.433;-50.683;67.116
762;2640;33;20;16.377;-51.005;67.382
763;2720;34;20;16.323;-51.305;67.628
764;2800;35;20;16.269;-51.585;67.854
765;2880;36;20;16.216;-51.848;68.064
766;2960;37;20;16.163;-52.096;68.259
767;3040;38;20;16.111;-52.331;68.44200000000001
768;3120;39;20;16.06;-52.661;68.721
769;3200;40;20;16.009;-52.968;68.977
770;3280;41;20;15.959;-53.254;69.213
771;3360;42;20;15.909;-53.523;69.432
772;3440;43;20;15.86;-53.776;69.636
773;3520;44;20;15.812;-54.015;69.827
774;3600;45;20;15.764;-54.242;70.006
775;3680;46;20;15.716;-54.457;70.173
776;3760;47;20;15.669;-54.662;70.331
777;3840;48;20;15.623;-54.858;70.481
778;3920;49;20;15.577;-55.046;70.623
779;4000;50;20;15.531;-55.226;70.757
780;1600;20;21;17.009;17.009;0.0
781;1680;21;21;16.946;-39.544;56.489999999999995
782;1760;22;21;16.884;-42.554;59.438
783;1840;23;21;16.822;-44.315;61.137
784;1920;24;21;16.762;-45.564;62.326
785;2000;25;21;16.702;-46.533;63.235
786;2080;26;21;16.643;-47.325;63.968
787;2160;27;21;16.585;-47.995;64.58
788;2240;28;21;16.528;-48.574;65.102
789;2320;29;21;16.472;-49.086;65.55799999999999
790;2400;30;21;16.416;-49.544;65.96
791;2480;31;21;16.361;-49.958;66.319
792;2560;32;21;16.306;-50.335;66.641
793;2640;33;21;16.253;-50.683;66.936
794;2720;34;21;16.2;-51.005;67.205
795;2800;35;21;16.147;-51.305;67.452
796;2880;36;21;16.095;-51.585;67.68
797;2960;37;21;16.044;-51.848;67.892
798;3040;38;21;15.994;-52.096;68.09
799;3120;39;21;15.944;-52.331;68.275
800;3200;40;21;15.894;-52.554;68.44800000000001
801;3280;41;21;15.845;-52.868;68.71300000000001
802;3360;42;21;15.797;-53.161;68.958
803;3440;43;21;15.749;-53.435;69.184
804;3520;44;21;15.702;-53.693;69.395
805;3600;45;21;15.655;-53.937;69.592
806;3680;46;21;15.609;-54.168;69.777
807;3760;47;21;15.563;-54.387;69.95
808;3840;48;21;15.518;-54.595;70.113
809;3920;49;21;15.473;-54.794;70.267
810;4000;50;21;15.429;-54.984;70.413
811;1680;21;22;16.804;16.804;0.0
812;1760;22;22;16.744;-39.544;56.288
813;1840;23;22;16.684;-42.554;59.238
814;1920;24;22;16.626;-44.315;60.941
815;2000;25;22;16.568;-45.564;62.132000000000005
816;2080;26;22;16.511;-46.533;63.044
817;2160;27;22;16.455;-47.325;63.78
818;2240;28;22;16.399;-47.995;64.394
819;2320;29;22;16.344;-48.574;64.918
820;2400;30;22;16.29;-49.086;65.376
821;2480;31;22;16.237;-49.544;65.78099999999999
822;2560;32;22;16.184;-49.958;66.142
823;2640;33;22;16.131;-50.335;66.46600000000001
824;2720;34;22;16.08;-50.683;66.763
825;2800;35;22;16.029;-51.005;67.034
826;2880;36;22;15.978;-51.305;67.283
827;2960;37;22;15.929;-51.585;67.514
828;3040;38;22;15.879;-51.848;67.727
829;3120;39;22;15.831;-52.096;67.92699999999999
830;3200;40;22;15.782;-52.331;68.113
831;3280;41;22;15.735;-52.554;68.289
832;3360;42;22;15.688;-52.766;68.454
833;3440;43;22;15.641;-53.065;68.706
834;3520;44;22;15.595;-53.346;68.941
835;3600;45;22;15.549;-53.609;69.158
836;3680;46;22;15.504;-53.857;69.361
837;3760;47;22;15.459;-54.092;69.551
838;3840;48;22;15.415;-54.315;69.72999999999999
839;3920;49;22;15.371;-54.527;69.898
840;4000;50;22;15.328;-54.729;70.057
841;1760;22;23;16.608;16.608;0.0
842;1840;23;23;16.551;-39.544;56.095
843;1920;24;23;16.494;-42.554;59.048
844;2000;25;23;16.438;-44.315;60.753
845;2080;26;23;16.382;-45.564;61.946
846;2160;27;23;16.328;-46.533;62.861000000000004
847;2240;28;23;16.274;-47.325;63.599000000000004
848;2320;29;23;16.22;-47.995;64.215
849;2400;30;23;16.168;-48.574;64.74199999999999
850;2480;31;23;16.116;-49.086;65.202
851;2560;32;23;16.064;-49.544;65.608
852;2640;33;23;16.014;-49.958;65.972
853;2720;34;23;15.963;-50.335;66.298
854;2800;35;23;15.914;-50.683;66.597
855;2880;36;23;15.865;-51.005;66.87
856;2960;37;23;15.816;-51.305;67.121
857;3040;38;23;15.768;-51.585;67.35300000000001
858;3120;39;23;15.721;-51.848;67.569
859;3200;40;23;15.674;-52.096;67.77
860;3280;41;23;15.627;-52.331;67.958
861;3360;42;23;15.581;-52.554;68.135
862;3440;43;23;15.536;-52.766;68.30199999999999
863;3520;44;23;15.491;-52.968;68.459
864;3600;45;23;15.446;-53.254;68.7
865;3680;46;23;15.402;-53.523;68.925
866;3760;47;23;15.358;-53.776;69.134
867;3840;48;23;15.315;-54.015;69.33
868;3920;49;23;15.272;-54.242;69.514
869;4000;50;23;15.23;-54.457;69.687
870;1840;23;24;16.421;16.421;0.0
871;1920;24;24;16.366;-39.544;55.91
872;2000;25;24;16.311;-42.554;58.865
873;2080;26;24;16.258;-44.315;60.57299999999999
874;2160;27;24;16.204;-45.564;61.768
875;2240;28;24;16.152;-46.533;62.685
876;2320;29;24;16.1;-47.325;63.425000000000004
877;2400;30;24;16.049;-47.995;64.044
878;2480;31;24;15.998;-48.574;64.572
879;2560;32;24;15.948;-49.086;65.03399999999999
880;2640;33;24;15.899;-49.544;65.443
881;2720;34;24;15.85;-49.958;65.80799999999999
882;2800;35;24;15.801;-50.335;66.136
883;2880;36;24;15.754;-50.683;66.437
884;2960;37;24;15.706;-51.005;66.711
885;3040;38;24;15.659;-51.305;66.964
886;3120;39;24;15.613;-51.585;67.19800000000001
887;3200;40;24;15.567;-51.848;67.41499999999999
888;3280;41;24;15.522;-52.096;67.618
889;3360;42;24;15.477;-52.331;67.808
890;3440;43;24;15.433;-52.554;67.987
891;3520;44;24;15.389;-52.766;68.155
892;3600;45;24;15.345;-52.968;68.313
893;3680;46;24;15.302;-53.161;68.463
894;3760;47;24;15.259;-53.435;68.694
895;3840;48;24;15.217;-53.693;68.91
896;3920;49;24;15.175;-53.937;69.112
897;4000;50;24;15.134;-54.168;69.30199999999999
898;1920;24;25;16.241;16.241;0.0
899;2000;25;25;16.188;-39.544;55.732
900;2080;26;25;16.136;-42.554;58.69
901;2160;27;25;16.085;-44.315;60.4
902;2240;28;25;16.033;-45.564;61.597
903;2320;29;25;15.983;-46.533;62.516000000000005
904;2400;30;25;15.933;-47.325;63.258
905;2480;31;25;15.884;-47.995;63.879
906;2560;32;25;15.835;-48.574;64.40899999999999
907;2640;33;25;15.787;-49.086;64.873
908;2720;34;25;15.739;-49.544;65.283
909;2800;35;25;15.692;-49.958;65.65
910;2880;36;25;15.645;-50.335;65.98
911;2960;37;25;15.599;-50.683;66.282
912;3040;38;25;15.553;-51.005;66.558
913;3120;39;25;15.508;-51.305;66.813
914;3200;40;25;15.464;-51.585;67.049
915;3280;41;25;15.419;-51.848;67.267
916;3360;42;25;15.375;-52.096;67.471
917;3440;43;25;15.332;-52.331;67.66300000000001
918;3520;44;25;15.289;-52.554;67.843
919;3600;45;25;15.246;-52.766;68.012
920;3680;46;25;15.204;-52.968;68.172
921;3760;47;25;15.163;-53.161;68.324
922;3840;48;25;15.121;-53.346;68.467
923;3920;49;25;15.08;-53.609;68.68900000000001
924;4000;50;25;15.04;-53.857;68.89699999999999
925;2000;25;26;16.069;16.069;0.0
926;2080;26;26;16.018;-39.544;55.562
927;2160;27;26;15.968;-42.554;58.522000000000006
928;2240;28;26;15.918;-44.315;60.233
929;2320;29;26;15.869;-45.564;61.433
930;2400;30;26;15.82;-46.533;62.353
931;2480;31;26;15.772;-47.325;63.097
932;2560;32;26;15.725;-47.995;63.72
933;2640;33;26;15.678;-48.574;64.252
934;2720;34;26;15.631;-49.086;64.717
935;2800;35;26;15.585;-49.544;65.12899999999999
936;2880;36;26;15.54;-49.958;65.49799999999999
937;2960;37;26;15.495;-50.335;65.83
938;3040;38;26;15.45;-50.683;66.133
939;3120;39;26;15.406;-51.005;66.411
940;3200;40;26;15.362;-51.305;66.667
941;3280;41;26;15.319;-51.585;66.904
942;3360;42;26;15.276;-51.848;67.124
943;3440;43;26;15.234;-52.096;67.33
944;3520;44;26;15.192;-52.331;67.523
945;3600;45;26;15.15;-52.554;67.70400000000001
946;3680;46;26;15.109;-52.766;67.875
947;3760;47;26;15.068;-52.968;68.036
948;3840;48;26;15.028;-53.161;68.18900000000001
949;3920;49;26;14.988;-53.346;68.334
950;4000;50;26;14.948;-53.523;68.471
951;2080;26;27;15.903;15.903;0.0
952;2160;27;27;15.854;-39.544;55.397999999999996
953;2240;28;27;15.806;-42.554;58.36
954;2320;29;27;15.758;-44.315;60.07299999999999
955;2400;30;27;15.711;-45.564;61.275
956;2480;31;27;15.664;-46.533;62.197
957;2560;32;27;15.617;-47.325;62.94200000000001
958;2640;33;27;15.571;-47.995;63.565999999999995
959;2720;34;27;15.526;-48.574;64.1
960;2800;35;27;15.481;-49.086;64.567
961;2880;36;27;15.437;-49.544;64.981
962;2960;37;27;15.393;-49.958;65.351
963;3040;38;27;15.349;-50.335;65.684
964;3120;39;27;15.306;-50.683;65.989
965;3200;40;27;15.263;-51.005;66.268
966;3280;41;27;15.221;-51.305;66.526
967;3360;42;27;15.179;-51.585;66.764
968;3440;43;27;15.138;-51.848;66.986
969;3520;44;27;15.096;-52.096;67.192
970;3600;45;27;15.056;-52.331;67.387
971;3680;46;27;15.015;-52.554;67.569
972;3760;47;27;14.975;-52.766;67.741
973;3840;48;27;14.936;-52.968;67.904
974;3920;49;27;14.897;-53.161;68.058
975;4000;50;27;14.858;-53.346;68.204
976;2160;27;28;15.744;15.744;0.0
977;2240;28;28;15.696;-39.544;55.239999999999995
978;2320;29;28;15.65;-42.554;58.204
979;2400;30;28;15.603;-44.315;59.918
980;2480;31;28;15.558;-45.564;61.122
981;2560;32;28;15.512;-46.533;62.045
982;2640;33;28;15.468;-47.325;62.793000000000006
983;2720;34;28;15.423;-47.995;63.418
984;2800;35;28;15.379;-48.574;63.952999999999996
985;2880;36;28;15.336;-49.086;64.422
986;2960;37;28;15.293;-49.544;64.83699999999999
987;3040;38;28;15.25;-49.958;65.208
988;3120;39;28;15.208;-50.335;65.543
989;3200;40;28;15.166;-50.683;65.849
990;3280;41;28;15.125;-51.005;66.13
991;3360;42;28;15.084;-51.305;66.389
992;3440;43;28;15.043;-51.585;66.628
993;3520;44;28;15.003;-51.848;66.851
994;3600;45;28;14.963;-52.096;67.059
995;3680;46;28;14.924;-52.331;67.255
996;3760;47;28;14.885;-52.554;67.43900000000001
997;3840;48;28;14.846;-52.766;67.612
998;3920;49;28;14.808;-52.968;67.77600000000001
999;4000;50;28;14.769;-53.161;67.93
1000;2240;28;29;15.589;15.589;0.0
1001;2320;29;29;15.544;-39.544;55.087999999999994
1002;2400;30;29;15.499;-42.554;58.053000000000004
1003;2480;31;29;15.454;-44.315;59.769
1004;2560;32;29;15.41;-45.564;60.974000000000004
1005;2640;33;29;15.366;-46.533;61.899
1006;2720;34;29;15.323;-47.325;62.648
1007;2800;35;29;15.28;-47.995;63.275
1008;2880;36;29;15.238;-48.574;63.812
1009;2960;37;29;15.196;-49.086;64.282
1010;3040;38;29;15.154;-49.544;64.698
1011;3120;39;29;15.113;-49.958;65.071
1012;3200;40;29;15.072;-50.335;65.407
1013;3280;41;29;15.031;-50.683;65.714
1014;3360;42;29;14.991;-51.005;65.99600000000001
1015;3440;43;29;14.951;-51.305;66.256
1016;3520;44;29;14.912;-51.585;66.497
1017;3600;45;29;14.873;-51.848;66.721
1018;3680;46;29;14.834;-52.096;66.92999999999999
1019;3760;47;29;14.796;-52.331;67.12700000000001
1020;3840;48;29;14.758;-52.554;67.312
1021;3920;49;29;14.72;-52.766;67.486
1022;4000;50;29;14.683;-52.968;67.65100000000001
1023;2320;29;30;15.441;15.441;0.0
1024;2400;30;30;15.397;-39.544;54.940999999999995
1025;2480;31;30;15.353;-42.554;57.907000000000004
1026;2560;32;30;15.31;-44.315;59.625
1027;2640;33;30;15.267;-45.564;60.831
1028;2720;34;30;15.225;-46.533;61.758
1029;2800;35;30;15.183;-47.325;62.508
1030;2880;36;30;15.141;-47.995;63.135999999999996
1031;2960;37;30;15.1;-48.574;63.674
1032;3040;38;30;15.059;-49.086;64.145
1033;3120;39;30;15.019;-49.544;64.563
1034;3200;40;30;14.979;-49.958;64.937
1035;3280;41;30;14.939;-50.335;65.274
1036;3360;42;30;14.9;-50.683;65.583
1037;3440;43;30;14.861;-51.005;65.866
1038;3520;44;30;14.823;-51.305;66.128
1039;3600;45;30;14.784;-51.585;66.369
1040;3680;46;30;14.747;-51.848;66.595
1041;3760;47;30;14.709;-52.096;66.80499999999999
1042;3840;48;30;14.672;-52.331;67.003
1043;3920;49;30;14.635;-52.554;67.18900000000001
1044;4000;50;30;14.598;-52.766;67.364
1045;2400;30;31;15.297;15.297;0.0
1046;2480;31;31;15.254;-39.544;54.797999999999995
1047;2560;32;31;15.212;-42.554;57.766000000000005
1048;2640;33;31;15.17;-44.315;59.485
1049;2720;34;31;15.129;-45.564;60.693
1050;2800;35;31;15.088;-46.533;61.621
1051;2880;36;31;15.047;-47.325;62.372
1052;2960;37;31;15.007;-47.995;63.001999999999995
1053;3040;38;31;14.967;-48.574;63.541
1054;3120;39;31;14.928;-49.086;64.014
1055;3200;40;31;14.888;-49.544;64.432
1056;3280;41;31;14.85;-49.958;64.80799999999999
1057;3360;42;31;14.811;-50.335;65.146
1058;3440;43;31;14.773;-50.683;65.456
1059;3520;44;31;14.735;-51.005;65.74000000000001
1060;3600;45;31;14.698;-51.305;66.003
1061;3680;46;31;14.661;-51.585;66.246
1062;3760;47;31;14.624;-51.848;66.472
1063;3840;48;31;14.587;-52.096;66.68299999999999
1064;3920;49;31;14.551;-52.331;66.882
1065;4000;50;31;14.515;-52.554;67.069
1066;2480;31;32;15.158;15.158;0.0
1067;2560;32;32;15.116;-39.544;54.66
1068;2640;33;32;15.075;-42.554;57.629000000000005
1069;2720;34;32;15.035;-44.315;59.349999999999994
1070;2800;35;32;14.995;-45.564;60.559
1071;2880;36;32;14.955;-46.533;61.488
1072;2960;37;32;14.916;-47.325;62.241
1073;3040;38;32;14.877;-47.995;62.872
1074;3120;39;32;14.838;-48.574;63.412
1075;3200;40;32;14.799;-49.086;63.885
1076;3280;41;32;14.761;-49.544;64.30499999999999
1077;3360;42;32;14.724;-49.958;64.682
1078;3440;43;32;14.686;-50.335;65.021
1079;3520;44;32;14.649;-50.683;65.332
1080;3600;45;32;14.613;-51.005;65.618
1081;3680;46;32;14.576;-51.305;65.881
1082;3760;47;32;14.54;-51.585;66.125
1083;3840;48;32;14.504;-51.848;66.352
1084;3920;49;32;14.469;-52.096;66.565
1085;4000;50;32;14.433;-52.331;66.76400000000001
1086;2560;32;33;15.023;15.023;0.0
1087;2640;33;33;14.983;-39.544;54.527
1088;2720;34;33;14.943;-42.554;57.497
1089;2800;35;33;14.904;-44.315;59.218999999999994
1090;2880;36;33;14.865;-45.564;60.429
1091;2960;37;33;14.826;-46.533;61.359
1092;3040;38;33;14.788;-47.325;62.113
1093;3120;39;33;14.75;-47.995;62.745
1094;3200;40;33;14.712;-48.574;63.286
1095;3280;41;33;14.675;-49.086;63.760999999999996
1096;3360;42;33;14.638;-49.544;64.182
1097;3440;43;33;14.602;-49.958;64.56
1098;3520;44;33;14.565;-50.335;64.9
1099;3600;45;33;14.529;-50.683;65.212
1100;3680;46;33;14.493;-51.005;65.498
1101;3760;47;33;14.458;-51.305;65.763
1102;3840;48;33;14.423;-51.585;66.008
1103;3920;49;33;14.388;-51.848;66.236
1104;4000;50;33;14.353;-52.096;66.449
1105;2640;33;34;14.892;14.892;0.0
1106;2720;34;34;14.853;-39.544;54.397
1107;2800;35;34;14.815;-42.554;57.369
1108;2880;36;34;14.776;-44.315;59.090999999999994
1109;2960;37;34;14.739;-45.564;60.303
1110;3040;38;34;14.701;-46.533;61.234
1111;3120;39;34;14.664;-47.325;61.989000000000004
1112;3200;40;34;14.627;-47.995;62.622
1113;3280;41;34;14.59;-48.574;63.164
1114;3360;42;34;14.554;-49.086;63.64
1115;3440;43;34;14.518;-49.544;64.062
1116;3520;44;34;14.483;-49.958;64.441
1117;3600;45;34;14.447;-50.335;64.782
1118;3680;46;34;14.412;-50.683;65.095
1119;3760;47;34;14.377;-51.005;65.382
1120;3840;48;34;14.343;-51.305;65.648
1121;3920;49;34;14.309;-51.585;65.894
1122;4000;50;34;14.275;-51.848;66.123
1123;2720;34;35;14.765;14.765;0.0
1124;2800;35;35;14.727;-39.544;54.271
1125;2880;36;35;14.69;-42.554;57.244
1126;2960;37;35;14.653;-44.315;58.967999999999996
1127;3040;38;35;14.616;-45.564;60.18
1128;3120;39;35;14.579;-46.533;61.112
1129;3200;40;35;14.543;-47.325;61.868
1130;3280;41;35;14.507;-47.995;62.501999999999995
1131;3360;42;35;14.472;-48.574;63.046
1132;3440;43;35;14.437;-49.086;63.522999999999996
1133;3520;44;35;14.402;-49.544;63.946
1134;3600;45;35;14.367;-49.958;64.325
1135;3680;46;35;14.332;-50.335;64.667
1136;3760;47;35;14.298;-50.683;64.981
1137;3840;48;35;14.264;-51.005;65.269
1138;3920;49;35;14.231;-51.305;65.536
1139;4000;50;35;14.197;-51.585;65.782
1140;2800;35;36;14.642;14.642;0.0
1141;2880;36;36;14.605;-39.544;54.149
1142;2960;37;36;14.568;-42.554;57.122
1143;3040;38;36;14.532;-44.315;58.846999999999994
1144;3120;39;36;14.497;-45.564;60.061
1145;3200;40;36;14.461;-46.533;60.994
1146;3280;41;36;14.426;-47.325;61.751000000000005
1147;3360;42;36;14.391;-47.995;62.385999999999996
1148;3440;43;36;14.356;-48.574;62.93
1149;3520;44;36;14.322;-49.086;63.408
1150;3600;45;36;14.288;-49.544;63.831999999999994
1151;3680;46;36;14.254;-49.958;64.212
1152;3760;47;36;14.221;-50.335;64.556
1153;3840;48;36;14.187;-50.683;64.87
1154;3920;49;36;14.154;-51.005;65.159
1155;4000;50;36;14.121;-51.305;65.426
1156;2880;36;37;14.522;14.522;0.0
1157;2960;37;37;14.486;-39.544;54.03
1158;3040;38;37;14.45;-42.554;57.004000000000005
1159;3120;39;37;14.415;-44.315;58.73
1160;3200;40;37;14.381;-45.564;59.945
1161;3280;41;37;14.346;-46.533;60.879000000000005
1162;3360;42;37;14.312;-47.325;61.637
1163;3440;43;37;14.278;-47.995;62.272999999999996
1164;3520;44;37;14.244;-48.574;62.818
1165;3600;45;37;14.21;-49.086;63.296
1166;3680;46;37;14.177;-49.544;63.721
1167;3760;47;37;14.144;-49.958;64.102
1168;3840;48;37;14.112;-50.335;64.447
1169;3920;49;37;14.079;-50.683;64.762
1170;4000;50;37;14.047;-51.005;65.052
1171;2960;37;38;14.405;14.405;0.0
1172;3040;38;38;14.37;-39.544;53.913999999999994
1173;3120;39;38;14.336;-42.554;56.89
1174;3200;40;38;14.301;-44.315;58.616
1175;3280;41;38;14.267;-45.564;59.831
1176;3360;42;38;14.234;-46.533;60.767
1177;3440;43;38;14.2;-47.325;61.525000000000006
1178;3520;44;38;14.167;-47.995;62.162
1179;3600;45;38;14.134;-48.574;62.708
1180;3680;46;38;14.102;-49.086;63.188
1181;3760;47;38;14.069;-49.544;63.613
1182;3840;48;38;14.037;-49.958;63.995
1183;3920;49;38;14.005;-50.335;64.34
1184;4000;50;38;13.973;-50.683;64.656
1185;3040;38;39;14.291;14.291;0.0
1186;3120;39;39;14.257;-39.544;53.800999999999995
1187;3200;40;39;14.224;-42.554;56.778000000000006
1188;3280;41;39;14.19;-44.315;58.504999999999995
1189;3360;42;39;14.157;-45.564;59.721000000000004
1190;3440;43;39;14.124;-46.533;60.657000000000004
1191;3520;44;39;14.092;-47.325;61.417
1192;3600;45;39;14.06;-47.995;62.055
1193;3680;46;39;14.027;-48.574;62.601
1194;3760;47;39;13.996;-49.086;63.082
1195;3840;48;39;13.964;-49.544;63.507999999999996
1196;3920;49;39;13.933;-49.958;63.891
1197;4000;50;39;13.901;-50.335;64.236
1198;3120;39;40;14.18;14.18;0.0
1199;3200;40;40;14.147;-39.544;53.690999999999995
1200;3280;41;40;14.115;-42.554;56.669000000000004
1201;3360;42;40;14.082;-44.315;58.397
1202;3440;43;40;14.05;-45.564;59.614000000000004
1203;3520;44;40;14.018;-46.533;60.551
1204;3600;45;40;13.986;-47.325;61.31100000000001
1205;3680;46;40;13.954;-47.995;61.949
1206;3760;47;40;13.923;-48.574;62.497
1207;3840;48;40;13.892;-49.086;62.977999999999994
1208;3920;49;40;13.861;-49.544;63.405
1209;4000;50;40;13.83;-49.958;63.788
1210;3200;40;41;14.072;14.072;0.0
1211;3280;41;41;14.04;-39.544;53.583999999999996
1212;3360;42;41;14.008;-42.554;56.562
1213;3440;43;41;13.976;-44.315;58.291
1214;3520;44;41;13.945;-45.564;59.509
1215;3600;45;41;13.914;-46.533;60.447
1216;3680;46;41;13.883;-47.325;61.208
1217;3760;47;41;13.852;-47.995;61.846999999999994
1218;3840;48;41;13.821;-48.574;62.394999999999996
1219;3920;49;41;13.791;-49.086;62.876999999999995
1220;4000;50;41;13.761;-49.544;63.30499999999999
1221;3280;41;42;13.967;13.967;0.0
1222;3360;42;42;13.935;-39.544;53.479
